QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
205831_at,202545_at,1570197_at,208335_s_at,241098_at,217039_x_at,201162_at,1555326_a_at,213906_at,203413_at,1570505_at,205624_at,1007_s_at,1553105_s_at,216040_x_at,204588_s_at,1431_at,1552510_at
213539_at,206715_at,237826_at,213620_s_at,1569212_at,217198_x_at,208394_x_at,222486_s_at,205898_at,206974_at,205997_at,207134_x_at,1552256_a_at,1553458_at,205137_x_at,208177_at,1552721_a_at,1552843_at
205758_at,205936_s_at,217478_s_at,226028_at,206177_s_at,228518_at,206049_at,231067_s_at,220646_s_at,207651_at,226431_at,205683_x_at,1552261_at,1553666_at,205371_s_at,205896_at,1553062_at,1555553_a_at
210140_at,1552398_a_at,1570198_x_at,204677_at,231662_at,216892_at,230800_at,1553809_a_at,1553177_at,209671_x_at,205239_at,211734_s_at,1552418_at,1554126_at,206504_at,207444_at,1553147_at,1560884_at
206974_at,219593_at,236203_at,204115_at,231663_s_at,231668_x_at,208877_at,210602_s_at,,213539_at,230802_at,,1552419_s_at,1554127_s_at,204753_s_at,211116_at,1554514_at,1560885_x_at
37145_at,224374_s_at,217436_x_at,209373_at,231665_at,211430_s_at,208206_s_at,202902_s_at,,,222446_s_at,,1552482_at,1554259_at,241770_x_at,223044_at,1554668_a_at,1561951_at
205488_at,205119_s_at,235157_at,211343_s_at,203645_s_at,216510_x_at,201655_s_at,227404_s_at,,,1558662_s_at,,1553089_a_at,1554264_at,233267_at,239667_at,1554974_at,1569926_s_at
210164_at,206420_at,238900_at,201860_s_at,215049_x_at,211868_x_at,201505_at,204774_at,,,210347_s_at,,1553333_at,1554332_a_at,215977_x_at,213664_at,1555175_a_at,204981_at
206666_at,210873_x_at,1560213_at,204726_at,216233_at,216557_x_at,204642_at,204006_s_at,,,1555372_at,,1553367_a_at,1554784_at,219735_s_at,218675_at,1555497_a_at,205058_at
207651_at,229560_at,241849_at,206702_at,1554406_a_at,217360_x_at,219032_x_at,209189_at,,,230983_at,,1553572_a_at,1554899_s_at,201913_s_at,209830_s_at,1555612_s_at,205234_at
211597_s_at,204858_s_at,232375_at,228698_at,1555213_a_at,216541_x_at,232940_s_at,204627_s_at,,,1553369_at,,1553764_a_at,1554971_at,209633_at,242773_at,1557189_at,206529_x_at
210354_at,208594_x_at,240182_at,219584_at,1555214_a_at,216542_x_at,211980_at,208083_s_at,,,230499_at,,1553962_s_at,1555319_at,213501_at,206529_x_at,1558546_at,206872_at
205291_at,204232_at,216231_s_at,221491_x_at,1555756_a_at,211647_x_at,219282_s_at,212531_at,,,206255_at,,1553963_at,1555320_a_at,241397_at,239805_at,1558631_at,207074_s_at
211339_s_at,203104_at,232311_at,223836_at,221698_s_at,211648_at,204677_at,202018_s_at,,,236226_at,,1553965_x_at,1555564_a_at,203747_at,206535_at,1560098_at,207201_s_at
202503_s_at,203765_at,201891_s_at,1553177_at,206682_at,211634_x_at,209392_at,1552439_s_at,,,228434_at,,1554008_at,1555811_at,216893_s_at,223732_at,1560981_a_at,207212_at
205821_at,207085_x_at,201641_at,213906_at,223655_at,215949_x_at,204153_s_at,224917_at,,,219471_at,,1554348_s_at,1555812_a_at,209601_at,207298_at,1561093_at,207298_at
204891_s_at,36564_at,203052_at,205898_at,204580_at,211635_x_at,211340_s_at,1553575_at,,,220377_at,,1554376_s_at,1555952_at,235638_at,207074_s_at,1561094_a_at,207429_at
203413_at,210663_s_at,1554533_at,220646_s_at,203936_s_at,211640_x_at,205581_s_at,223217_s_at,,,226713_at,,1554600_s_at,1555953_at,232399_at,202830_s_at,1562102_at,207444_at
213915_at,1553043_a_at,209619_at,205495_s_at,204438_at,217236_x_at,207551_s_at,202238_s_at,,,223522_at,,1555392_at,1556138_a_at,203963_at,204981_at,1563034_at,207771_at
218039_at,206214_at,1567627_at,226303_at,206851_at,211641_x_at,210571_s_at,212768_s_at,,,206983_at,,1555395_at,1556499_s_at,241459_at,226125_at,1563035_x_at,208177_at
214617_at,203535_at,1567628_at,228489_at,201107_s_at,234419_x_at,228665_at,205729_at,,,206398_s_at,,1555454_at,1556740_at,1555490_s_at,215274_at,1569688_at,208354_s_at
209773_s_at,203561_at,203915_at,,201108_s_at,214916_x_at,1564630_at,229947_at,,,205987_at,,1555503_a_at,1556836_at,216599_x_at,205074_at,1569689_s_at,210343_s_at
206118_at,210152_at,230172_at,,201109_s_at,213674_x_at,209071_s_at,207238_s_at,,,204581_at,,1555680_a_at,1556837_a_at,227771_at,244890_at,201562_s_at,214389_at
209671_x_at,210895_s_at,202748_at,,201110_s_at,215621_s_at,201578_at,206157_at,,,215925_s_at,,1555704_at,1557029_at,216733_s_at,203908_at,201563_at,215274_at
216920_s_at,204959_at,242907_at,,215775_at,222285_at,211964_at,206392_s_at,,,1555779_a_at,,1555705_a_at,1557071_s_at,209831_x_at,237503_at,202025_x_at,216599_x_at
