Probeset	Gene Symbol	EntrezsA	logFC	AveExpr	t	P.Value	adj.P.Val	B
204667_at	FOXA1	3169	-3,038343755	8,651156587	-14,36155895	5,74154E-11	3,57009E-07	14,64976262
215729_s_at	VGLL1	51442	3,452289965	6,137594604	12,81461683	3,43848E-10	1,06902E-06	13,15006203
220192_x_at	SPDEF	25803	-3,016314888	9,521882848	-10,8590408	4,33617E-09	7,02035E-06	10,92904951
214451_at	TFAP2B	7021	-5,665058816	7,432823049	-10,82969516	4,51614E-09	7,02035E-06	10,89259367
217528_at	CLCA2	9635	-5,622086289	6,763100692	-9,666279443	2,42996E-08	3,0219E-05	9,364338874
217284_x_at	SERHL2	253190	-4,313116359	9,133307246	-9,528468375	2,9945E-08	3,1033E-05	9,172111813
205044_at	GABRP	2568	5,626206358	8,423253723	9,215325092	4,85221E-08	4,31015E-05	8,726043588
211110_s_at	AR	367	-2,603769201	7,708028172	-8,912162069	7,82666E-08	5,46773E-05	8,281639972
209337_at	PSIP1	11168	2,483076812	8,426167157	8,905202023	7,91405E-08	5,46773E-05	8,271289709
218211_s_at	MLPH	79083	-2,68228351	10,93276923	-8,418095169	1,74679E-07	0,000108616	7,530103025
219736_at	TRIM36	55521	-2,415204299	7,043153339	-8,213494241	2,45739E-07	0,000127749	7,208721859
209786_at	HMGN4	10473	2,308988457	9,810437501	8,187049775	2,56922E-07	0,000127749	7,166742209
206509_at	PIP	5304	-5,581047134	10,18681391	-8,10185678	2,96707E-07	0,000127749	7,030809624
204061_at	PRKX	5613	1,767965269	7,685456518	8,092090424	3,01663E-07	0,000127749	7,015158965
211682_x_at	UGT2B28	54490	-4,314401899	8,575636713	-8,07950581	3,08176E-07	0,000127749	6,994971477
204942_s_at	ALDH3B2	222	-3,785838303	9,309249522	-7,966817382	3,73481E-07	0,000145144	6,81316937
207039_at	CDKN2A	1029	2,708523438	7,343810468	7,792112141	5,04762E-07	0,000184624	6,527617003
202854_at	HPRT1	3251	1,917504723	10,13760195	7,555488224	7,63914E-07	0,00026389	6,133632254
219734_at	SIDT1	54847	-2,347145495	7,328436189	-7,354557448	1,09243E-06	0,000357362	5,792497098
212218_s_at	FASN	2194	-2,20170899	9,490320088	-7,326224966	1,14944E-06	0,000357362	5,743906495
218847_at	IGF2BP2	10644	1,464745865	7,030048955	7,283581736	1,24117E-06	0,000363828	5,670544712
203058_s_at	PAPSS2	9060	-2,884793125	8,991796428	-7,263373173	1,28727E-06	0,000363828	5,635682922
202345_s_at	FABP5	2171	3,194134607	9,358523213	7,216439906	1,40134E-06	0,000378849	5,554480663
221510_s_at	GLS	2744	1,790976498	8,754281559	6,943854374	2,3082E-06	0,000598017	5,076287697
214079_at	DHRS2	10202	-6,032814592	8,677168936	-6,887643967	2,56161E-06	0,000637123	4,976283336
212458_at	SPRED2	200734	-1,784839588	8,57254372	-6,810505783	2,95731E-06	0,000707253	4,838270722
201795_at	LBR	3930	1,76919716	10,62849013	6,747973244	3,32452E-06	0,000765624	4,725732401
208103_s_at	ANP32E	81611	2,987758199	8,733531714	6,500594997	5,3099E-06	0,001179178	4,274784204
212057_at	GSE1	23199	-1,971912997	8,659156968	-6,385144289	6,62569E-06	0,00142064	4,061208842
202672_s_at	ATF3	467	1,266937017	8,278311677	6,355981263	7,00877E-06	0,001452685	4,006947899
211138_s_at	KMO	8564	-2,943790094	9,159606259	-6,285792968	8,02781E-06	0,001610224	3,87584293
212446_s_at	CERS6	253782	-1,441253054	7,985208045	-6,25958515	8,44666E-06	0,001621642	3,826704411
205541_s_at	GSPT2	23708	1,729865086	7,695669694	6,249946463	8,60634E-06	0,001621642	3,808607096
200670_at	XBP1	7494	-1,8357245	10,88535698	-6,223402991	9,06243E-06	0,001657359	3,758699964
215034_s_at	TM4SF1	4071	2,093905712	9,710920268	6,195954816	9,56046E-06	0,001658194	3,706984197
200961_at	SEPHS2	22928	-1,322763826	10,77360082	-6,193820869	9,60035E-06	0,001658194	3,702959001
209900_s_at	SLC16A1	6566	1,903720339	6,705286032	6,152893621	1,03996E-05	0,001703009	3,625631872
209170_s_at	GPM6B	2824	2,223795126	8,736939417	6,152502513	1,04076E-05	0,001703009	3,624891754
205401_at	AGPS	8540	1,558727519	7,46554752	6,100184206	1,15316E-05	0,001768323	3,52568835
200862_at	DHCR24	1718	-2,685167036	10,73172066	-6,096542204	1,16144E-05	0,001768323	3,518767947
219303_at	RNF219	79596	1,316583413	7,937218148	6,065981665	1,23337E-05	0,001768323	3,460623203
213680_at	KRT6B	3854	3,501036838	9,14132542	6,064306994	1,23744E-05	0,001768323	3,457433107
203740_at	MPHOSPH6	10200	-1,568803644	10,90843913	-6,063749333	1,2388E-05	0,001768323	3,456370725
208763_s_at	TSC22D3	1831	-1,184754582	10,47574452	-6,058647294	1,25131E-05	0,001768323	3,446648941
203741_s_at	ADCY7	113	1,446488421	7,45106386	6,034254289	1,31293E-05	0,001814182	3,400117623
201951_at	ALCAM	214	-3,055561701	8,545566611	-6,021000231	1,34773E-05	0,001821775	3,37479919
212771_at	FAM171A1	221061	1,451301507	8,503025747	5,993572673	1,42279E-05	0,001851297	3,322327022
213298_at	NFIC	4782	-1,124766377	7,714124318	-5,985019487	1,44707E-05	0,001851297	3,305942041
218738_s_at	RNF138	51444	1,537510615	9,474038142	5,980910549	1,45889E-05	0,001851297	3,298067057
203797_at	VSNL1	7447	2,166729797	9,209778587	5,94338572	1,57153E-05	0,001954353	3,226039091
209799_at	PRKAA1	5562	-1,623210726	6,090871513	-5,931844022	1,60795E-05	0,001960442	3,203845418
204044_at	QPRT	23475	-1,342081245	9,007544708	-5,895608046	1,72808E-05	0,002038063	3,134046098
206827_s_at	TRPV6	55503	-1,510731711	7,676722314	-5,888929176	1,75122E-05	0,002038063	3,121161042
205221_at	HGD	3081	-1,652711859	6,817873478	-5,883588912	1,76995E-05	0,002038063	3,110854014
203637_s_at	MID1	4281	2,326051736	7,529520154	5,862004947	1,84778E-05	0,002088997	3,069155466
218963_s_at	KRT23	25984	2,591213084	7,566688313	5,851903708	1,88541E-05	0,002093475	3,049618564
211953_s_at	IPO5	3843	1,89361903	8,235216027	5,827092428	1,98123E-05	0,002161281	3,001571251
202589_at	TYMS	7298	1,633747351	10,62591064	5,785188876	2,15465E-05	0,002259961	2,920233227
202431_s_at	MYC	4609	2,064634354	9,021071971	5,777522872	2,18803E-05	0,002259961	2,905327042
208682_s_at	MAGED2	10916	-1,569946984	10,35606871	-5,771547135	2,21442E-05	0,002259961	2,893701969
212492_s_at	KDM4B	23030	-1,275621078	7,967602396	-5,769630399	2,22296E-05	0,002259961	2,889972166
207843_x_at	CYB5A	1528	-1,496516382	10,88447438	-5,762851341	2,25342E-05	0,002259961	2,876776714
222258_s_at	SH3BP4	23677	-1,463582027	10,2850043	-5,733071624	2,39241E-05	0,002324761	2,818736909
209191_at	TUBB6	84617	1,188503415	10,09422989	5,726987	2,42189E-05	0,002324761	2,806863463
219497_s_at	BCL11A	53335	1,602421609	6,829554193	5,725285488	2,43019E-05	0,002324761	2,803542269
204521_at	FAM216A	29902	1,487544443	6,461956257	5,71318039	2,49016E-05	0,00234603	2,779903028
201030_x_at	LDHB	3945	2,137082871	11,81404213	5,666283807	2,73725E-05	0,002540328	2,6881372
202528_at	GALE	2582	-1,632642659	7,969619586	-5,582855544	3,2412E-05	0,002924128	2,524170071
202862_at	FAH	2184	-1,941612773	8,038348334	-5,576592423	3,28269E-05	0,002924128	2,511824112
205150_s_at	TRIL	9865	-1,889797983	7,51000656	-5,575217446	3,29188E-05	0,002924128	2,509113057
218205_s_at	MKNK2	2872	-1,325038268	10,45575911	-5,544904676	3,50119E-05	0,003048103	2,449283184
